name,photo,description,link
Adalm Pluto SDR,images/placeholder/ADALM-PLUTO.jpg,"Software defined radio by Analog Devices. Bandwidth: 20 MHz, Frequency range: 325 MHz to 3800 MHz.",https://www.analog.com/en/resources/evaluation-hardware-and-software/evaluation-boards-kits/adalm-pluto.html
USRP SDR (2954R),images/placeholder/USRP_2954R.png,"Software defined radio by NI. Bandwidth: 160 MHz, Frequency range: 10 MHz to 6 GHz.",https://www.ni.com/docs/en-US/bundle/usrp-2954-specs/page/specs.html
USRP SDR (2920),images/placeholder/USRP_2920.png,"Software defined radio by NI. Bandwidth: 20 MHz, Frequency range: 50 MHz to 2.2 GHz.",https://www.ni.com/docs/en-US/bundle/usrp-2920-specs/page/specs.html
Amitec SDR,images/placeholder/Amitec_SDR.jpg,"Software defined radio by Amitec. Bandwidth: 56 MHz, Frequency range: 47 MHz to 6 GHz.",https://www.nuand.com/bladerf-2-0-micro/
DSK TMS320C6748,images/placeholder/C6748.png,"Scalable DSP development platform for real-time signal processing, audio analytics, and embedded systems prototyping.",https://www.ti.com/tool/TMDSLCDK6748
DSK TMS320C5515,images/placeholder/C5515.jpeg,"Evaluation platform for the TMS320C5515 DSP, enabling low-power real-time audio and signal-processing development.",https://www.edutechlearning.com/learningresoursedesc/electronics-engineering/cpu-target-boards/educational-practice-board-for-tms320c5515
Deep Learning Server,images/placeholder/invento-i714-purley-series.png,"2x Intel Xeon Gold · 4x 64 GB DDR4 · NVIDIA RTX 2080 Ti (12 GB) · 2x 256 GB SSD · 2x 2 TB HDD.",https://fusionstor.com/products/invento-i714-purley-series
GPU Server (A100),images/placeholder/Server class machine with GPU.png,"2x Intel Xeon Gold · 8x 64 GB DDR4 · NVIDIA A100 (80 GB) · 2 TB SSD · 4 TB HDD.",https://www.hexadata.in/products/Hexadata-Rackmount-Workstation-HD-SW200
DGX H100,images/placeholder/DGXH100.png,"Dual Intel Xeon Platinum 8480C · 2 TB RAM · 640 GB GPU memory · 8x 3.84 TB NVMe storage.",https://www.nvidia.com/en-in/data-center/dgx-h100/
Jetson Nano,images/placeholder/Jetson Nano.jpg,"NVIDIA edge AI platform for robotics, IoT, and real-time machine learning inference at the edge.",https://developer.nvidia.com/embedded/jetson-nano
PYNQ-Z2 Board,images/placeholder/PYNQ-Z2.png,"Xilinx Zynq XC7Z020-based FPGA board supporting Python-driven hardware acceleration via the PYNQ framework.",https://www.amd.com/en/corporate/university-program/aup-boards/pynq-z2.html
RFSoC Boards (4x2),images/placeholder/RFSoC_4x2.png,"RF SoC integrating high-speed ADCs/DACs with programmable logic for wideband communications and radar prototyping.",https://www.rfsoc-pynq.io/rfsoc_4x2_overview.html
